136.1	"\"3640, East Cork Street, Kalamazoo, Kalamazoo County, Michigan, 49001, United States of America\",\"42.2600117565175\",\"-85.5345809386355\""
137.1	"\"6613, West 15th Place, Sioux Falls, Minnehaha County, South Dakota, 57106, United States of America\",\"43.5416023673469\",\"-96.8065810408163\""
139.1	"\"245, Watkins Road, Peckerwood Point, Tipton County, Tennessee, 38023, United States of America\",\"35.4339124700852\",\"-89.8977906495742\""
164.1	"\"3576, Beulah Road, Columbus, Franklin County, Ohio, 43224, United States of America\",\"40.0380241702082\",\"-82.9942061055905\""
169.1	"\"Main Street, Albion, Kennebec County, Maine, 04910, United States of America\",\"44.532904\",\"-69.4380729\""
170.1	"\"190, West Valencia Road, Tucson, Pima County, Arizona, 85706, United States of America\",\"32.134125\",\"-110.970746\""
171.1	"\"416, East State Street, Meridian, Ada County, Idaho, 83642, United States of America\",\"43.6130170408163\",\"-116.38614877551\""
174.1	"\"Super 8, 1304, 4th Street, Eureka, Humboldt County, California, 95501, United States of America\",\"40.80376505\",\"-124.156849354052\""
181.1	"\"2401, South Park Street, Madison, Dane County, Wisconsin, 53713, United States of America\",\"43.039955\",\"-89.393899\""
185.1	"\"Olive Street, Northwest Woods, Hinesville, Liberty County, Georgia, 31313, United States of America\",\"31.848974\",\"-81.6110519\""
190.1	"\"East 180th Street, West Farms, Bronx, St. Andrews Village, Bronx County, NYC, New York, 10460, United States of America\",\"40.840869\",\"-73.8728079\""
193.1	"\"Ulatis Drive, Leisure Town, Vacaville, Solano County, California, 95687, United States of America\",\"38.3573371\",\"-121.9550554\""
195.1	"\"48, North Hunt Drive, Mesa, Maricopa County, Arizona, 85203, United States of America\",\"33.415599877551\",\"-111.798162295918\""
194.1	"\"White Plains Hospital Center, 41, East Post Road, White Plains, Westchester County, New York, 10601, United States of America\",\"41.0262085\",\"-73.7690209\""
204.1	"\"West 14th Avenue, Greenville, Pitt County, North Carolina, 27834, United States of America\",\"35.6072092\",\"-77.3848573\""
213.1	"\"South Ellsworth Road, Mesa, Maricopa County, Arizona, 85207; 85208, United States of America\",\"33.3067699\",\"-111.6353466\""
215.1	"\"I 575;GA 5, Holly Springs, Cherokee County, Georgia, 30114, United States of America\",\"34.180051\",\"-84.5074729\""
220.1	"\"Manchester Road, Rock Hill, St. Louis County, Missouri, 63011, United States of America\",\"38.6107222\",\"-90.3603107\""
225.1	"\"Fegenbush Lane, Louisville, Jefferson County, Kentucky, 40228, United States of America\",\"38.143006\",\"-85.6237219\""
228.1	"\"East Griffin Avenue, Attapulgus, Decatur County, Georgia, 39815, United States of America\",\"30.7488773\",\"-84.4792799\""
233.1	"\"Olive Street, Northwest Woods, Hinesville, Liberty County, Georgia, 31313, United States of America\",\"31.848974\",\"-81.6110519\""
240.1	"\"West Grand Street, Springfield, Greene County, Missouri, 65802, United States of America\",\"37.1970497\",\"-93.3071003\""
245.1	"\"3201, Airport Way, Boise City, Ada County, Idaho, 83705, United States of America\",\"43.5710705492096\",\"-116.222732795544\""
250.1	"\"Fairview Avenue, Dover-Foxcroft, Piscataquis County, Maine, 04426, United States of America\",\"45.188825\",\"-69.2203599\""
253.1	"\"3201, Airport Way, Boise City, Ada County, Idaho, 83705, United States of America\",\"43.5710705492096\",\"-116.222732795544\""
256.1	"\"1411, West 16th Avenue, Pine Bluff, Jefferson County, Arkansas, 71603, United States of America\",\"34.2132338979592\",\"-92.0162605306122\""
257.1	"\"976, Cascade Road, Atlanta, Fulton County, Georgia, 30311, United States of America\",\"33.728417\",\"-84.442307\""
259.1	"\"4608, Brockton Drive, Millbrook, Raleigh, Wake County, North Carolina, 27604, United States of America\",\"35.8425066032244\",\"-78.5966760593785\""
263.1	"\"Widefield Boulevard, Security-Widefield, El Paso County, Colorado, 80911, United States of America\",\"38.7319306\",\"-104.7244704\""
264.1	"\"Bowman Street, Farmingdale, Kennebec County, Maine, 04344, United States of America\",\"44.247045\",\"-69.7869049\""
265.1	"\"1485, West 46th Street, Hialeah, Miami-Dade County, Florida, 33012, United States of America\",\"25.8639878272725\",\"-80.3118098183333\""
267.1	"\"Olive Street, Northwest Woods, Hinesville, Liberty County, Georgia, 31313, United States of America\",\"31.848974\",\"-81.6110519\""
269.1	"\"1523, East Main Street, Cushing, Payne County, Oklahoma, 74023, United States of America\",\"35.9849395789474\",\"-96.7472006842105\""
275.1	"\"2600, East Silver Street, Samos, Tucson, Pima County, Arizona, 85716, United States of America\",\"32.252816\",\"-110.933086\""
284.1	"\"Benthollow Lane, Chattawood, Duluth, Gwinnett County, Georgia, 30096, United States of America\",\"33.9969478\",\"-84.1556536\""
287.1	"\"8201, Santa Ana Canyon Road, Savi Ranch, Anaheim, Orange County, California, 92808, United States of America\",\"33.8685680613078\",\"-117.748624780532\""
296.1	"\"3300, West Wagoner Road, Phoenix, Maricopa County, Arizona, 85053, United States of America\",\"33.65335\",\"-112.130294\""
301.1	"\"Covington Highway, Avondale Estates, DeKalb County, Georgia, 30002, United States of America\",\"33.773819\",\"-84.2580919\""
303.1	"\"16098, East Ithaca Place, Aurora, Arapahoe County, Colorado, 80013, United States of America\",\"39.651834\",\"-104.799908\""
304.1	"\"Macon Highway, Athens-Clarke County, Clarke County, Georgia, Ga, United States of America\",\"33.9150315\",\"-83.3967423\""
309.1	"\"Shastina Drive, Weed, Siskiyou County, California, 96094, United States of America\",\"41.405721\",\"-122.3798949\""
314.1	"\"238, Holiday Lodge Road, North Liberty, Johnson County, Iowa, 52317, United States of America\",\"41.7379713468587\",\"-91.6035381143654\""
317.1	"\"1528, Jefferson Avenue, Brunswick, Medina County, Ohio, 44212, United States of America\",\"41.2338693561644\",\"-81.8466451917808\""
320.1	"\"1192, South L and N Turnpike, Magnolia, Larue County, Kentucky, 42716, United States of America\",\"37.4854725493091\",\"-85.7110880976954\""
321.1	"\"Watson Road, Hillsboro, Fleming County, Kentucky, United States of America\",\"38.29416\",\"-83.6299309\""
327.1	"\"Alondra Boulevard, Bellflower, Los Angeles County, California, 90650, United States of America\",\"33.8880288\",\"-118.1114687\""
